,Conc,E2F-1,FOXO1a,Cyclin-E1,Cyclin-D1
38,0.01,2.8403244419862603,3.169066643130164,2.2489609597596836,2.3312794695129537
39,0.01,2.880430558546531,3.211177962623946,2.1507840619524576,2.4963345059968165
40,0.01,3.0281754089302373,3.297010733620834,2.2039082124728195,2.461079637339611
41,0.01,2.8667279096671296,3.2295159751587756,2.1058983216360994,2.380813407649166
42,0.01,2.9536765929594693,3.3214366530841537,2.143205348111012,2.6606074797717483
43,0.01,2.8236424367963493,3.109968797867239,2.3403548670783416,2.4729859652035713
44,0.01,2.893001775457335,3.2135047412479865,2.2046760662958054,2.48247625103106
45,0.01,2.633954996755744,3.3624178158550944,2.228474788140234,2.582253183146376
46,0.01,3.0020623372559183,3.1754120707345,2.3075901605072104,2.5243363943910273
47,0.01,2.9248605413106867,3.2771749319385677,2.176070991506946,2.657017587340369
48,0.01,2.9116167056816704,3.258832120880123,2.4081110149955247,2.6116872037868895
49,0.01,2.893406082908994,3.049413411227909,2.1637039040693127,2.4960283130612813
50,0.031623,2.7420256132975163,2.7765827899246904,2.14180709618986,2.3848424593352715
51,0.031623,3.0050010929437945,2.8820957237740408,2.1678222408386487,2.4975861257952685
52,0.031623,2.8273324340130572,3.156558842592842,2.217718136869984,2.737410530689872
53,0.031623,2.888252525659227,3.0808976559429433,2.185306954569373,2.751326842951422
54,0.031623,2.8361335161055985,3.1305042358316872,2.2216802106587052,2.639528322960665
55,0.031623,2.9177632789775534,3.1003302159003576,2.1735096827761793,2.7007037171450192
56,0.031623,2.8438883978863525,3.084484762624258,2.161457846971751,2.429958883987824
57,0.031623,2.8966325735454777,3.1740248998668017,2.2398848188352694,2.52078343953108
58,0.031623,2.8777127721405216,3.2617922662812715,2.2218704637976017,2.5718427089343705
59,0.031623,3.163923405896392,3.196444806109374,2.2879695948354546,2.790082399023158
60,0.031623,2.729520344252432,3.0433166845330124,2.239121719939015,2.405902747628757
61,0.031623,2.707901305817376,3.030561269214494,2.1491451838983875,2.4474293806055942
62,0.031623,2.744760673727696,3.095260037999186,2.1589321298596853,2.437676060661628
63,0.031623,2.844937941971046,3.2188056080390073,2.2081294984569557,2.5962330152790516
64,0.031623,2.7851810102570083,3.239480168113482,2.181102941814847,2.5846963758101364
65,0.031623,2.905465583092462,3.095464013565518,2.1918728074285596,2.6424239578154682
66,0.031623,3.0181935259790844,3.0704460963021654,2.243077753795291,2.7979029327933818
67,0.031623,3.049683863783387,2.840862939567015,2.112929930605946,2.368593665557761
68,0.031623,2.8729576660611356,3.1431322625873848,2.199933354974079,2.493644834131631
69,0.031623,2.800965077567759,3.0674595746900963,2.1519487279136063,2.4384300030787895
70,0.031623,2.7927599831272003,3.107787062000502,2.257383346251001,2.480721071914417
71,0.031623,2.722494893147351,3.0888505798052823,2.1554392840193475,2.623766000133931
72,0.031623,2.8810066961002074,3.055112550535929,2.2384425610058685,2.4252928787405086
73,0.031623,2.6261791454120025,3.07663425502089,2.2021257996394192,2.422703076483218
74,0.031623,2.7888793527740843,3.0296333238331337,2.2271408254231866,2.499247067908116
75,0.031623,2.619512806782009,2.9556603355108497,2.1331906945561268,2.408367181389087
76,0.031623,2.6089985797526496,3.004852951565145,2.1215204506111753,2.3701909964353196
77,0.031623,2.9083434479754438,3.122395786415611,2.3218096239186625,2.833311615226652
78,0.031623,2.6895450368810674,3.0036681510659506,2.1507349547961985,2.590090249768757
79,0.031623,2.9016419177657395,3.118457849919984,2.3668654319264566,3.1418622356250165
80,0.031623,2.6791588778139266,3.0542299098633974,2.1893695815818326,2.415397413166542
81,0.031623,2.623453980980379,3.025040290850475,2.113632553532346,2.3757202971203344
82,0.031623,2.4053104948170323,2.919208361181301,2.128861107224589,2.3560449886872297
83,0.031623,2.916003101189239,2.8414289269862043,2.110347245708284,2.598088724030517
84,0.031623,2.7971851071013565,2.9604527013746473,2.1295642250225773,2.9290590786567443
85,0.031623,2.7741357872046812,3.1899953399643186,2.20689600488203,2.5360746418401043
86,0.031623,2.8282950390488457,2.9811560180065535,2.1377211439874055,2.499200290134354
87,0.031623,2.7429049375433276,2.9206277961225235,2.181634962203798,2.3865756514398675
88,0.031623,2.742424240863935,2.921031679761158,2.1711733631803463,2.5331108381053533
89,0.031623,3.0752055958884474,2.906139403581847,2.2312834971791102,2.837640828159726
90,0.031623,2.9541329569036274,2.9478389070095545,2.1722905237813324,2.413747242454086
91,0.031623,2.863225281631733,3.001437305188222,2.1539611283795574,2.3761899341124417
92,0.031623,2.8038946039682795,2.9684927550928077,2.292683508061228,2.392746182232543
93,0.031623,2.6697379513224018,2.881038110198447,2.113786309757823,2.5110527306213326
94,0.031623,2.681084682191824,2.8713434693826265,2.1472309827787543,2.427047698387575
95,0.031623,2.6742556447105916,2.869167744615764,2.1401968233498807,2.4922839399343855
96,0.031623,2.21620550180111,2.707595722080821,2.1517619786965745,2.212451298282377
97,0.031623,2.7530503961008774,2.866156735665281,2.154454406139564,2.5712906366422454
98,0.031623,2.908882136287925,2.812632644891752,2.1642130261486683,2.340999022531442
99,0.031623,2.669488890350475,2.964580634815273,2.1369867683036614,2.446283910124439
100,0.1,3.0560426453101424,3.320717765647329,2.1224288761555314,2.466609635074954
101,0.1,3.409840340008145,3.191944834406919,2.383992995573997,2.706942124085954
102,0.1,3.16971615723481,3.435807748703692,2.1621938735652053,2.621892588317354
103,0.1,2.937718443617264,3.676015306513439,2.2787238850506166,2.7528632342552823
104,0.1,3.3425284778630444,3.4303587385094687,2.4095155267613664,2.8442752036002794
105,0.1,3.2140797182870973,3.650042785150176,2.2472537538143964,2.7338045315132824
